"","line_text_star_final","line_text_final"
"183","10","정말 재미있어요 정말 강추 합니다 이영화 절대 보세요 강력 추천 합니다 이영화 안보면 정말 후회 합니다 돈 시간 낭비 안합니다 이영화 절말 코믹 액션 정말 재미있습니다 이영화 정말 강추 합니다 재밌어요 강력  추천"
"184","10","보고나면 값어치합니다 다시한번보고싶어요ㅎ"
"185","10","지루하지않게 봤어요~~ 웃음이 계속 터지구 재밌게 봤네요~~"
"186","10","넘  잼있어요  스트레스  확  날려버리는  연기  액션  뛰어나구요  강추"
"187","10","이시대가 진정 원하는 그런 액션과 코믹이 무엇인지 알게 해준 영화였습니다약간 아주약간 갸우뚱 할수는 있지만 무지무지 짜임새있는 영화였습니다"
"188","10",""
"189","10","너무 재밌게 보고왔어요"
"190","10","미션 파서블 재밌게 관람했습니다"
"191","9","보는내내 통쾌하고 유쾌했다"
"192","10","스토리 배우들의 연기 모두 훌륭"
"193","10","내 배꼽을 찾아라가 영화의 목적인듯요어디갓지 내 배꼽"
"194","8","지루하지 않고 좋아요 ㅎㅎㅎ"
"195","10","익숙한 전개 분위기지만 나도 모르게 웃고있다"
"196","4","한국영화 중에서 액션은 진짜 좋다그거 빼곤 다 별로뻔하디 뻔한 클리셰의 반복ㅜㅜ어쩜 이렇게 매번 똑같나"
"197","4","급하게 만든 느낌 작품성개연성 생각없이 가볍게 보실 분만 보세여"
"198","10","별로 기대 안하고 봤는데 진짜 둘이 너무 웃긴데 멋있기도 하고 그냥 너무 재밌었어요"
"199","10","오랜만에 재밌는 코믹영화 나왔네요 재밌게보고왔어요"
"200","9","킬링타임용으로 즐기기엔 딱 좋아요"
"201","10","스토리 연기 연출 뭐 하나 모자라지 않는 영화였습니다"
"202","10","재밌습니다 김영광 이선빈 연기 장난 없네요"
"203","10","재밋음 커플들 웃으러 보러가면됨기분좋아지는 영화임"
"204","8","기대없이 킬링타임용으로 돈이 아깝지않은 정도"
"205","10","광수광수~ 부러운 사람"
"206","10","액션이 과도하지 않은데 짜임새 있고 유머도 억지웃음 유도 안하고 스토리나 액션씬도 좋아 코로나만 아니었음 500만명 이상 돌파하지 않았을까 하는 생각"
"207","10","생각보다 재밋어서 놀램"
"208","10","너무 재밌음 김영광님 액션 대박"
"209","10","저는 되게 멋있더라고요 생각보다 너무 재미있었어요"
"210","10","이선빈 너무 이뿌고 액션 시원 시원 하고  토카레프 진심 사고싶다  볼만하다"
"211","10","유쾌한 영화임 부담없이 관람할 수 있다"
"212","10","콜라 들고 들어가지 마세요 뿜으려는거 참느라 고생 진짜 시도때도 없이 터트려서 마시는 타이밍 잘못 맞춤 크게 민폐끼칠수도"
"213","10","김영광 개멋있음액션 죠깐지였음"
"214","10","처음부터 끝까지 웃겨요"
"215","10","넘재밌어요 보기전에 평점보고 뻔한내용일까봐 걱정했는데 그런부분이 아예없는건아니었지만 거슬릴정도는 아니었고 김영광 배우님 너무멋있어요ㅠㅠ 제가 잔인한거 잘못보는데 별로 잔인하지도않고 액션도 시원시원하고 재밌게봤어요"
"216","10","코로나  때문에 극장은  오랜만인데 간만에 애들이랑 재밌게  봤습니다오랜만에  가족이랑도  다  같이 볼수 있는 유쾌한 영화네요"
"217","10","웃겨요푸하하~~"
"218","10","김영광 배우의 천연덕스러운 연기가 넘 재미있었고 두 배우의 케미가시티헌터같은 느낌도 나고 호흡이 정말 좋더라구요  액션 장면의 연출이 너무 훌륭했고 마지막 쿠키영상까지 웃음의 요소가 너무 많아요주말이라"
"219","10","그냥 개꿀잼 너무웃김"
"220","10","꼭 보세요 완전 둘이 티키타카 잘 맞고 매력터짐 ㅎㅎ 특히 맨 마지막 너무 웃겼어요"
"221","10","유치와 진지 사이를 적절히 탔음 편하게 웃으면서 즐길 수 있는 작품"
"222","10","최근 보지 못했던 액션이네요액션이 좀더 많았으면 더 좋았을것 같습니다"
"223","8","생각보다 마니 마니  웃김"
"224","10","코로나때문에 영화관 못가다가 오랜만에 이 영화 보게되었는데 생각보다 재미있고 은근히 즐겁게 웃었네요아무 생각없이 즐길 수 있는 오락영화로 강추합니다"
"225","10","진짜재미없을것같았고 초반부분 연기 유치하고 노잼인것같았는데 중반부터 빠져들었다개웃기고 재밌었어요액션신도 잘찍음"
"226","10","생각없이 웃겨서 재미남 과하게 오버하지 않아서 부담없이 보기 좋음"
"227","10","간만에 아무 생각없이 마냥 웃을 수 있어서 만족했다"
"228","10",""
"229","10","진짜 잼남 김영광 넘 좋아"
"230","10","김영광짱짱짱짱최고 짱멋 꿀잼"
"231","10","재밋고 연기 좋고 액션 좋고 굿"
"232","10","굿잼입니다 여러분들 하하"
"233","10","예고편도 안보고 봤네요 추천이요~~"
"234","10","오랜만에 본 영화였는데 지루한거 없이 너무 재밌게 본 영화 지금 시기에 개봉해서 너무 아쉬웠던 영화 중 하나라서 나중에라도 다시 보기 예약 ㅠㅠㅠ"
"235","10","김영광 개멋있음 이선빈도 존예 코믹하고가족이랑 보기좋을거같애요"
"236","10","어제친구랑영화봤는데감독님이영화제작하고연출을잘하신거같아요 기회가된다면한번더보고싶네요"
"237","10","올만에 영화관가서 봤는데 재밌게보다옴요 로맨스없어서 더 좋았고 둘이 케미 왤캐잘맞음"
"238","10","진짜 재밌다 액션최고"
"239","8","오랜만의 개봉작이라 넘넘 좋았네요코로나땜에 많은 관객이 볼수없다는게 아쉼네요그동안의 우울함이 잠깐이나마 사라질수 있어서 좋았어요"
"240","3","두배우연기는좋았으나내용이 너무 ㅜ 저는 그닥이엇습니다"
"241","10","진짜진짜진짜진짜 너무 재밌어요"
"242","10","존나잼 ㅠ 오랜만에 영화 ㅈㅐ밌게본듯 ㅠㅠㅠ"
"243","10","진짜 배우님들 연기 너무 자연스럽고 웃기고 재밌어요ㅜㅠ 보는 내내 빵빵 터지다가도 액션장면에는 심장 쫄리면서 봤어요 짱"
"244","10","좋았다~ 편하게 보기 좋다"
"245","10","재미 있게잘보았습니다강력추천무기밀매상을보니 자한당이생각나더군요"
"246","10","액션과 코믹의 적당한 배율~ 웃기고 액션 멋지네요~ 멜로는 없음"
"247","10","정말 재밌다 꼭 보면 좋겠다"
"248","8","영등포롯시 나름 재밌게 잘 봤다 코믹장르기에 만화같은 설정은 어쩔 수 없고 스토리도 뒤로 갈 수록 억지스러운 면이 있긴 했다 그러나 가벼운 마음이라면 충분히 재밌게 볼 수 있는 영화였다 후속편이 나온다면 뭔"
"249","10","친구랑 영화관에서 둘이 봤는데 하나하나 스토리가 재밌고 액션도 괜찮고 해서 재밌게 봤습니다~ 일단 코믹 부분이 다 재밌었어요"
"250","9","웃으면서 봤어요^^"
"251","10","방금 다봤는데 배우들 연기 스릴 있구 너무 웃겨요 ㅎㅎ"
"252","10","재밌음 키스신이나 잔인한게 없어서 가족과 보기에도 딱 좋음"
"253","10","이시국에 이렇게 재미있는 영화 만들어주셔서 감사합니다 ㅎㅎ 진짜 너무 재미있게 봤습니다 감사합니다 ㅎㅎ"
"254","10","존잼 ㅠ 생각없이보고 기대없이봤다가 빵빵터짐"
"255","10","진짜 배우분들 연기 너무 잘하시고 오랜만에 깔깔 웃은 거 같아요 너무 재밌어서 특히 싸우는씬 진짜 멋있어서 입 떡 벌리고 본 거 같아요 김영광 배우님하고 김선빈 배우님은 연기 진짜 재밌게 잘하시고 김선빈 배우님 진짜"
"256","10","웃음이 끝기지않고  액션신이 너무 잼게 봤어요"
"257","8","10점까진 솔직히 에바고지금같은 시국에 그냥 생각없이 웃을때 보기좋은 영화"
"258","10","오랜만에 극장에서 영화봤는데 너무 재밌게 봤네요 ~"
"259","10","너무 재ㅣ밌고 김영광 그냥 개 사랑해요"
"260","10","볼만하고 재밌었어요 레드벨벳빨간맛 남자분 서강준닮음 존잘"
"261","10","기대하고 봤는데 거기 부응할정도로 재밌어요"
"262","10","기자들 평론가들은 거의 다 코박고 죽어야됨 무슨 5점도 안되게 주냐 그정도 영화는 아니잖아 지들은 무슨 고고한 척 유식한척 하는데 알고보면 돈만 쫓는 영화 하이에나들 아닌가"
"263","10","하악 진짜 존잼 꼭보세요 김영광 애교에 치이고 이선빈 외모에 치입니다"
"264","10","재밌습니다  믿고볼영화 감동은그닥 가볍게보세요"
"265","10","결말까지 두근두근 김영광배우님 액션 최고최고ㅠㅠ"
"266","10","그냥 재밌어 당신은 검사를 선임 할 수 있어변호사 알아"
"267","10","억지로 웃기려는 포인트가 없어서 웃겼음"
"268","9","액션이 시원해서 좋았음 가볍게 웃으면서 보기 좋아요"
"269","10","진촤 기승전결 완벽 코미디와 액션을 다 잡았다~ 반전에 반전에 반전이 너무 재밌어서 엄청 웃다왔어요 강추~"
"270","10","스릴있고 코믹하고 재밋어요"
"271","4","노잼 맨날 그런 한국영화 중간에 있는 액션만 볼만"
"272","1","돈 진짜 아까움  80년대에도 이런 스토리로 영화 안만듬 대체 어디가 웃긴거고 이런 연출 나도 하겠다"
"273","10","꿀잼입니다 둘 캐미와 액션 좋아요"
"274","10","진짜 개꿀잼 김영광 너무 멋있다"
"275","10","진짜 코로나시국후로 영화관도 안가고 이번이   그후로 처음인데 진짜 찐웃음지었습니다친구랑 둘이 갔는데 액션신 좋고 스토리도 좋고 하지만 에로씬은 없어도 칼싸움장면이 좀 무서워서 부부끼리는가도 어린아이를 데리고 가기"
"276","10","재밌어요 연기도 배우분들 모두 다 잘하시고 특히 김영광님이 너무 귀여우셬"
