"","line_text_star_final","line_text_final"
"197","8","슈퍼맨 너무 세서 문제"
"198","2","주말 2천원 할인받아 9천원주고봤는데진짜 돈 아깝다고 느낀 영화최악임진심 돈 아깝다슈퍼맨이 갑이고 쌩뚱맞은 스토리전개"
"199","5","그냥 한번쯤 볼만한 영화였어요"
"200","6","초반엔 지루하고 후반은 진부하다 DC 세계관을 설득력 있게 만들어야 하는데 그것도 안해서 스토리가 얕음 딱 킬링타임용"
"201","3","영웅들이 아깝다 영화가 너무 어둡고 지루함"
"202","3","DC사장이 마블 스파이 아니냐"
"203","7","전작을 놓쳣다면 초반부는 버거울 수도 그리고 영웅 간 밸런스 패치가 시급합니다"
"204","2","영화관에서 잔적 오랜만이다 꿀잠자고왔다 영화제목바꿔야됨 슈퍼맨과 아이들 재미하나도없다 ㅡㅡ 진짜 화나네"
"205","2","DC해줘도 졸지않고 보기 어려움"
"206","7","슈퍼맨만 있으면 혼자서 세상 구하는거 어렵지 않아요 적 이름 수없이 들었는데 기억도 안 남"
"207","4","값비싼 정의닦이  제가 악평 잘 안쓰는데 이건 좀"
"208","7","다음에는 더 잘나오겠지하며 본 dc영화가 벌써 4편째더 이상은 영화관에서 DC영화 볼 일은 없을 거 같습니다"
"209","7","액션만 보러 간거라 괜찮았어요 스토리는 뭐 뻔하니까요"
"210","7","원더우먼등장씬이 제일나은듯"
"211","7","내 나이 31 슈퍼맨처럼 되고 싶다졸라 멋있어"
"212","4","너무 많은 기대를 했구나 ㅠㅜ"
"213","4","수어사이드랑 다른게 머냐"
"214","8","영화는 나름 재밌게 볼 수 있었는데 캐릭터 간의 밸런스가 너무 아쉽다 슈퍼맨이 살아난 이후로의 느낀 스토리가 마더박스를 지켜라가 아닌 슈퍼맨을 살려라인거 같았음"
"215","7","나쁘진 않으나 저스티스 리그라는 이름값을 생각하면 확실히 기대 이하다 굳이 어벤져스와 비교하지 않더라도 캐릭터들이 따로 놀고 너무 축약된 내용으로 공감이 어렵다 거이에 슬로모션의 남발과 슈퍼맨이라는 치트키는 극"
"216","6","결말이 수퍼맨을 위해 존재하는 듯한 균형감 상실이 엔딩을 더더욱 어이없게 만든 것 같다"
"217","6","원더우먼으로 쌓은 기대감 다 날려버림ㅠ 이게 머야ㅠㅜㅜ 스토리가 개연성이라고는 1도 없음ㅠ"
